647|539|Public
5|$|As stated above, the exosome complex {{contains}} many proteins with ribonuclease domains. The {{exact nature of}} these ribonuclease domains has changed across evolution from bacterial to archaeal to eukaryotic complexes as various activities have been gained and lost. The exosome is primarily a 3'-5' exoribonuclease, meaning that it degrades RNA molecules from their 3' end. Exoribonucleases contained in exosome complexes are either phosphorolytic (the RNase PH-like proteins) or, in eukaryotes, hydrolytic (the RNase R and RNase D domain proteins). The phosphorolytic enzymes use inorganic phosphate to cleave the phosphodiester bonds - releasing nucleotide diphosphates. The hydrolytic enzymes use water <b>to</b> <b>hydrolyse</b> these bonds - releasing nucleotide monophosphates.|$|E
5|$|The {{second most}} studied triad is the Cysteine-Histidine-Aspartate motif. Several {{families}} of cysteine proteases use this triad set, for example TEV protease and papain. The triad acts similarly to serine protease triads, {{with a few}} notable differences. Due to cysteine's low pKa, {{the importance of the}} Asp to catalysis varies and several cysteine proteases are effectively Cys-His dyads (e.g. hepatitis A virus protease), whilst in others the cysteine is already deprotonated before catalysis begins (e.g. papain). This triad is also used by some amidases, such as N-glycanase <b>to</b> <b>hydrolyse</b> non-peptide C-N bonds.|$|E
5|$|Thorium {{is rather}} active chemically. Owing {{to lack of}} {{electrons}} on 6d and 5f orbitals, the tetravalent thorium compounds are colorless. At pH < 3, the solutions of thorium salts are dominated by the cations 4+. The Th4+ ion is relatively large, and depending on the coordination number can have a radius between 0.95 and 1.14 Å. As a result, thorium salts have a weak tendency <b>to</b> <b>hydrolyse.</b> The distinctive ability of thorium salts is their high solubility, not only in water, but also in polar organic solvents.|$|E
50|$|At higher {{temperatures}} sulfacetamide solutions degrade <b>to</b> its <b>hydrolysed</b> product, sulphanilamide with a first-order rate constant.|$|R
50|$|Dichlorocarbene {{reacts with}} alkenes {{in a formal}} 1+2cycloaddition to form geminal dichlorocyclopropanes. These can be reduced <b>to</b> cyclopropanes or <b>hydrolysed</b> <b>to</b> give cyclopropanones by a geminal halide hydrolysis. Dichlorocyclopropanes may also be {{converted}} to allenes in the Skattebøl rearrangement.|$|R
5000|$|Benzotrichloride is {{partially}} <b>hydrolysed</b> <b>to</b> benzoyl chloride: ...|$|R
5|$|The Serine-Histidine-Aspartate motif {{is one of}} {{the most}} {{thoroughly}} characterised catalytic motifs in biochemistry. The triad is exemplified by chymotrypsin, a model serine protease from the PA superfamily which uses its triad <b>to</b> <b>hydrolyse</b> protein backbones. The aspartate is hydrogen bonded to the histidine, increasing the pKa of its imidazole nitrogen from 7 to around 12. This allows the histidine to act as a powerful general base and to activate the serine nucleophile. It also has an oxyanion hole consisting of several backbone amides which stabilises charge build-up on intermediates. The histidine base aids the first leaving group by donating a proton, and also activates the hydrolytic water substrate by abstracting a proton as the remaining OH− attacks the acyl-enzyme intermediate.|$|E
25|$|Ionic liquids {{are often}} {{moderate}} to poor conductors of electricity, non-ionizing (e.g., non-polar), highly viscous and frequently exhibit low vapor pressure. Their other properties are diverse: many have low combustibility, are thermally stable, with wide liquid regions, and favorable solvating properties {{for a range}} of polar and non-polar compounds. Many classes of chemical reactions, such as Diels-Alder reactions and Friedel-Crafts reactions, can be performed using ionic liquids as solvents. IL's can serve as solvents for biocatalysis. The miscibility of ionic liquids with water or organic solvents varies with side chain lengths on the cation and with choice of anion. They can be functionalized to act as acids, bases, or ligands, and are precursors salts in the preparation of stable carbenes. They have recently been found <b>to</b> <b>hydrolyse,</b> affording acidic or basic media in the aqueous milieu. Because of their distinctive properties, ionic liquids are attracting increasing attention in many fields, including organic chemistry, electrochemistry, catalysis, physical chemistry, and engineering; see for instance magnetic ionic liquid.|$|E
500|$|All four common halides are known, ZrF4, ZrCl4, ZrBr4, ZrI4. All have {{polymeric}} {{structures and}} {{are far less}} volatile than the corresponding monomeric titanium tetrahalides. [...] All tend <b>to</b> <b>hydrolyse</b> to give the so-called oxyhalides and dioxides.|$|E
5000|$|... {{hydroxylamine}} disulfonate is <b>hydrolysed</b> <b>to</b> hydroxylammonium sulfate ...|$|R
5000|$|Endohydrolysis of (1->3)- or (1->4)-linkages in beta-D-glucans {{when the}} glucose residue whose {{reducing}} group {{is involved in}} the linkage <b>to</b> be <b>hydrolysed</b> is itself substituted at C-3 ...|$|R
5000|$|Fraxin, {{occurring}} in Fraxinus excelsior, and with aesculin, <b>hydrolyses</b> <b>to</b> glucose and fraxetin, 7,8-dihydroxy-6-methoxycoumarin.|$|R
2500|$|Aspartic, glutamic and metallo- proteases {{activate}} a water molecule which {{performs a}} nucleophilic {{attack on the}} peptide bond <b>to</b> <b>hydrolyse</b> it.|$|E
2500|$|PON1 {{was first}} {{discovered}} through its ability <b>to</b> <b>hydrolyse</b> and therefore detoxify organophosphorus compounds which {{are widely used}} as pesticides and nerve gases. Despite decades of research it is only now becoming clear that PON1 protects humans from the acute and chronic harmful effects of these compounds Low PON1 activity found in children may increase their susceptibility to organophosphates.|$|E
